DATE,NYGDPPCAPKDJPN
1960-01-01,6388.87810064976
1961-01-01,7094.47046454383
1962-01-01,7655.05526031226
1963-01-01,8219.98739660426
1964-01-01,9084.79518054167
1965-01-01,9510.54956577863
1966-01-01,10426.6399027996
1967-01-01,11462.9263865587
1968-01-01,12794.6236237767
1969-01-01,14221.0523672392
1970-01-01,14114.3158179076
1971-01-01,14456.8211953459
1972-01-01,15455.1369428391
1973-01-01,16463.2791725065
1974-01-01,16046.7846823822
1975-01-01,16333.6748183256
1976-01-01,16801.9250306258
1977-01-01,17370.6165468412
1978-01-01,18120.7284269821
1979-01-01,18953.3339137399
1980-01-01,19334.3747442401
1981-01-01,20011.8292508853
1982-01-01,20525.2958514713
1983-01-01,21122.9648423051
1984-01-01,21912.1518618524
1985-01-01,22898.9942415023
1986-01-01,23527.7125188459
1987-01-01,24503.0845657802
1988-01-01,26026.8648821107
1989-01-01,27199.939969537
1990-01-01,28422.2131195125
1991-01-01,29308.274088137
1992-01-01,29462.6539670948
1993-01-01,29232.4397928178
1994-01-01,29466.7552451756
1995-01-01,30171.1637924347
1996-01-01,31046.1701544648
1997-01-01,31276.1930771932
1998-01-01,30795.0888900928
1999-01-01,30636.266116943
2000-01-01,31430.6311303282
2001-01-01,31476.052066579
2002-01-01,31416.1241772435
2003-01-01,31830.2175849262
2004-01-01,32515.1158024317
2005-01-01,33098.5474664872
2006-01-01,33531.5185630775
2007-01-01,33990.0360341685
2008-01-01,33557.6454041531
2009-01-01,31651.0837739853
2010-01-01,32942.2020783725
2011-01-01,33011.13423011
2012-01-01,33518.444936892
2013-01-01,34239.8862473683
2014-01-01,34386.905855287
2015-01-01,34960.6393843385
2016-01-01,35242.1993771881
2017-01-01,35861.9728545838
2018-01-01,36138.5290824719
2019-01-01,36043.7844013365
2020-01-01,34650.7967802766
2021-01-01,35701.4542716142
2022-01-01,36202.639274898
2023-01-01,37079.1092202813
