"DATE","TIME PERIOD","MONEY STOCK M2, M-AV SA (RTD.M.JP.Y.M_M2.J)"
"2003-04-30","2003Apr","672697.0"
"2003-05-31","2003May","674636.9"
"2003-06-30","2003Jun","676614.1"
"2003-07-31","2003Jul","677510.9"
"2003-08-31","2003Aug","680236.9"
"2003-09-30","2003Sep","678958.1"
"2003-10-31","2003Oct","679561.6"
"2003-11-30","2003Nov","680034.9"
"2003-12-31","2003Dec","680291.9"
"2004-01-31","2004Jan","681738.4"
"2004-02-29","2004Feb","683355.8"
"2004-03-31","2004Mar","684335.3"
"2004-04-30","2004Apr","685324.6"
"2004-05-31","2004May","688106.0"
"2004-06-30","2004Jun","688505.8"
"2004-07-31","2004Jul","690156.4"
"2004-08-31","2004Aug","692902.8"
"2004-09-30","2004Sep","692122.3"
"2004-10-31","2004Oct","692884.0"
"2004-11-30","2004Nov","693375.7"
"2004-12-31","2004Dec","694133.6"
"2005-01-31","2005Jan","695098.6"
"2005-02-28","2005Feb","695730.8"
"2005-03-31","2005Mar","698198.1"
"2005-04-30","2005Apr","697519.5"
"2005-05-31","2005May","698371.6"
"2005-06-30","2005Jun","699620.3"
"2005-07-31","2005Jul","701733.8"
"2005-08-31","2005Aug","704065.9"
"2005-09-30","2005Sep","705681.8"
"2005-10-31","2005Oct","706163.4"
"2005-11-30","2005Nov","707190.5"
"2005-12-31","2005Dec","707269.3"
"2006-01-31","2006Jan","707244.8"
"2006-02-28","2006Feb","707432.2"
"2006-03-31","2006Mar","707708.3"
"2006-04-30","2006Apr","708595.2"
"2006-05-31","2006May","707661.0"
"2006-06-30","2006Jun","707108.2"
"2006-07-31","2006Jul","705551.7"
"2006-08-31","2006Aug","707177.9"
"2006-09-30","2006Sep","709315.6"
"2006-10-31","2006Oct","710055.2"
"2006-11-30","2006Nov","711337.7"
"2006-12-31","2006Dec","712339.4"
"2007-01-31","2007Jan","713576.1"
"2007-02-28","2007Feb","714289.1"
"2007-03-31","2007Mar","715358.6"
"2007-04-30","2007Apr","716732.2"
"2007-05-31","2007May","717991.7"
"2007-06-30","2007Jun","719454.7"
"2007-07-31","2007Jul","720106.7"
"2007-08-31","2007Aug","719585.4"
"2007-09-30","2007Sep","721573.4"
"2007-10-31","2007Oct","723460.6"
"2007-11-30","2007Nov","725685.0"
"2007-12-31","2007Dec","727502.3"
"2008-01-31","2008Jan","729013.0"
"2008-02-29","2008Feb","730911.2"
"2008-03-31","2008Mar","731590.9"
"2008-04-30","2008Apr","730226.2"
"2008-05-31","2008May","732670.6"
"2008-06-30","2008Jun","734974.2"
"2008-07-31","2008Jul","735453.9"
"2008-08-31","2008Aug","736723.1"
"2008-09-30","2008Sep","737259.8"
"2008-10-31","2008Oct","736394.9"
"2008-11-30","2008Nov","738792.3"
"2008-12-31","2008Dec","741154.1"
"2009-01-31","2009Jan","743675.0"
"2009-02-28","2009Feb","746639.2"
"2009-03-31","2009Mar","748268.2"
"2009-04-30","2009Apr","749697.7"
"2009-05-31","2009May","752019.4"
"2009-06-30","2009Jun","753145.2"
"2009-07-31","2009Jul","755393.5"
"2009-08-31","2009Aug","757298.4"
"2009-09-30","2009Sep","759116.7"
"2009-10-31","2009Oct","761016.6"
"2009-11-30","2009Nov","762997.0"
"2009-12-31","2009Dec","764215.9"
"2010-01-31","2010Jan","766263.8"
"2010-02-28","2010Feb","767506.6"
"2010-03-31","2010Mar","768551.5"
"2010-04-30","2010Apr","771073.3"
"2010-05-31","2010May","775183.2"
"2010-06-30","2010Jun","774778.7"
"2010-07-31","2010Jul","775914.4"
"2010-08-31","2010Aug","778405.2"
"2010-09-30","2010Sep","780137.3"
"2010-10-31","2010Oct","781836.5"
"2010-11-30","2010Nov","782405.5"
"2010-12-31","2010Dec","782137.5"
"2011-01-31","2011Jan","784212.9"
"2011-02-28","2011Feb","786273.1"
"2011-03-31","2011Mar","788510.6"
"2011-04-30","2011Apr","791863.7"
"2011-05-31","2011May","796006.2"
"2011-06-30","2011Jun","796629.0"
"2011-07-31","2011Jul","798691.4"
"2011-08-31","2011Aug","799512.5"
"2011-09-30","2011Sep","801512.4"
"2011-10-31","2011Oct","803721.6"
"2011-11-30","2011Nov","805659.6"
"2011-12-31","2011Dec","806484.0"
"2012-01-31","2012Jan","808097.2"
"2012-02-29","2012Feb","809363.6"
"2012-03-31","2012Mar","811588.0"
"2012-04-30","2012Apr","812564.3"
"2012-05-31","2012May","813453.6"
"2012-06-30","2012Jun","814575.9"
"2012-07-31","2012Jul","817126.2"
"2012-08-31","2012Aug","819328.2"
"2012-09-30","2012Sep","821123.5"
"2012-10-31","2012Oct","822064.4"
