Date,USA_Index_Total,USA_Index_SMA(36),USA_Index_SMA(12),USA_Bonds_10Y2Y,interest_rates_USA,S&P500_change_stat_mean,MSCI_World_change_stat_mean,Dollar_Price_in_Yen_scaled_mean,VIX_Index_Price_Scaled,USA_Index_PCA,Japan_Index_Total,Japan_Index_SMA(36),Japan_Index_SMA(12),Nikkei_225_change_stat_mean,Japan_Index_PCA
1990-01-01,-4.0,,,,,,,,,2.28224414298448,0.0,,,,4.4428854412624705
1990-02-01,-5.0,,,,,,,,,2.282244142984481,-1.0,,,,4.442885441262471
1990-03-01,-4.0,,,,,,,,,2.0873528545665017,-1.0,,,,4.6240509036363955
1990-04-01,-5.0,,,,,,,,,1.7142437831501085,-1.0,,,,4.675806764928768
1990-05-01,-4.0,,,,,,,,,1.9828078620484615,-1.0,,,,4.680783749987972
1990-06-01,-4.0,,,,,,,,,2.0659415622175867,-1.0,,,,4.383682801866109
1990-07-01,-4.0,,,,,,,,,1.9399999415206781,0.0,,,,4.485697289558997
1990-08-01,-5.0,,,,,,,,,2.033828289736707,0.0,,,,4.472748849656902
1990-09-01,-4.0,,,,,,,,,2.191754501551228,-1.0,,,,4.559678031071565
1990-10-01,-4.0,,,,,,,,,2.2914403578616613,-1.0,,,,4.462446780982283
1990-11-01,-5.0,,,,,,,,,1.8659264427804583,0.0,,,,4.079566287127793
1990-12-01,-4.0,,-4.333333333333333,,,,,,,2.238906832833618,0.0,,-0.5833333333333334,,4.005238945098147
1991-01-01,-3.0,,-4.25,,,,,,,2.338592689144057,-3.0,,-0.8333333333333334,,3.970204804188891
1991-02-01,-4.0,,-4.166666666666667,,,,,,,2.075856789999957,-2.0,,-0.9166666666666666,,3.6883667392206574
1991-03-01,-3.0,,-4.083333333333333,,,,,,,2.2599247490077583,-3.0,,-1.0833333333333333,,3.656327068095003
1991-04-01,-3.0,,-3.9166666666666665,,,,,,,2.4748502458831454,-2.0,,-1.1666666666666667,,3.5153114115562807
1991-05-01,-3.0,,-3.8333333333333335,,,,,,,2.553117477759612,-3.0,,-1.3333333333333333,,3.472830991889327
1991-06-01,-3.0,,-3.75,,,,,,,2.589825191636565,-2.0,,-1.4166666666666667,,3.1133396864782372
1991-07-01,-3.0,,-3.6666666666666665,,,,,,,2.6003984904052513,-2.0,,-1.5833333333333333,,3.0310403902593452
1991-08-01,-3.0,,-3.5,,,,,,,2.6050002638863696,-3.0,,-1.8333333333333333,,3.061236225976083
1991-09-01,-3.0,,-3.4166666666666665,,,,,,,2.7138920504354056,-3.0,,-2.0,,2.7847511088132983
1991-10-01,-3.0,,-3.3333333333333335,,,,,,,2.623169425807169,-3.0,,-2.1666666666666665,,3.110478239745787
1991-11-01,-3.0,,-3.1666666666666665,,,,,,,2.6524095645031993,-2.0,,-2.3333333333333335,,2.834518298668204
1991-12-01,-3.0,,-3.0833333333333335,,,,,,,2.598523335115137,-4.0,,-2.6666666666666665,,2.696424693898861
1992-01-01,-4.0,,-3.1666666666666665,2.0789473684210527,4.03,,,6.2662894736842105,0.20806944648021,2.371149777573014,-3.0,,-2.6666666666666665,,2.6548439150242653
1992-02-01,-3.0,,-3.0833333333333335,2.131,4.06,,,6.381600000000001,0.2083444118631038,2.7533507620348567,-3.0,,-2.75,,2.5291740734181367
1992-03-01,-3.0,,-3.0833333333333335,1.8572727272727272,3.98,,,6.637795454545454,0.2142503698191599,2.6566492800339843,-4.0,,-2.8333333333333335,,2.7633279645453848
1992-04-01,-3.0,,-3.0833333333333335,2.135,3.73,,,6.675590909090909,0.20279465925874754,2.676435841126338,-4.0,,-3.0,,2.817812629497925
1992-05-01,-3.0,,-3.0833333333333335,2.163809523809524,3.82,,,6.530166666666666,0.17851527707026618,2.6379820467145803,-3.0,,-3.0,,2.5766930818740073
1992-06-01,-3.0,,-3.0833333333333335,2.213636363636364,3.76,,,6.336659090909091,0.18083421681980535,2.6256553353260617,-4.0,,-3.1666666666666665,,2.59386805967431
1992-07-01,-3.0,,-3.0833333333333335,2.4843478260869567,3.25,,,6.287304347826087,0.15758174373678585,2.624045268239552,-4.0,,-3.3333333333333335,,2.3417830867701275
1992-08-01,-3.0,,-3.0833333333333335,2.392857142857143,3.3,,,6.30552380952381,0.16911700585571796,2.6331298491999475,-4.0,,-3.4166666666666665,,2.369884093495662
1992-09-01,-4.0,,-3.1666666666666665,2.518181818181818,3.22,,,6.130045454545454,0.16007211505071928,2.518818040115945,-4.0,,-3.5,,2.5499475567368957
1992-10-01,-3.0,,-3.1666666666666665,2.506818181818182,3.1,,,6.061704545454545,0.2091216872329305,2.7407935713782345,-3.0,,-3.5,,2.361730052671697
1992-11-01,-3.0,,-3.1666666666666665,2.291904761904762,3.09,,,6.1905238095238095,0.1751233761225094,2.721565845123557,-3.0,,-3.5833333333333335,,2.247160862796974
1992-12-01,-3.0,-3.5277777777777777,-3.1666666666666665,2.0960869565217393,2.92,0.08006899635847443,-0.16414969549806865,6.196521739130435,0.14477329636736738,2.7023527830389633,-3.0,-2.25,-3.5,-0.5520855191055418,2.2873739764152434
