Date,interest_rates_USA,interest_rates_Japan,percent_infl_USA,percent_infl_Japan,M2 in Billions of Dollar,M2 in 100 Billions of Yen
1960-01-01,3.99,7.3,1.45797598627791,3.5745115253591,298.2,83.774
1960-02-01,3.97,7.3,1.45797598627791,3.5745115253591,298.4,84.881
1960-03-01,3.84,7.3,1.45797598627791,3.5745115253591,299.3,86.268
1960-04-01,3.92,7.3,1.45797598627791,3.5745115253591,300.1,87.326
1960-05-01,3.85,7.3,1.45797598627791,3.5745115253591,300.9,88.863
1960-06-01,3.32,7.3,1.45797598627791,3.5745115253591,302.3,90.16
1960-07-01,3.23,7.3,1.45797598627791,3.5745115253591,304.1,91.543
1960-08-01,2.98,6.94,1.07072414764724,5.36846178480055,306.9,93.219
1960-09-01,2.6,6.94,1.07072414764724,5.36846178480055,308.4,94.878
1960-10-01,2.47,6.94,1.07072414764724,5.36846178480055,309.5,96.52
1960-11-01,2.44,6.94,1.07072414764724,5.36846178480055,310.9,98.279
1960-12-01,1.98,6.94,1.07072414764724,5.36846178480055,312.4,99.794
1961-01-01,1.45,6.57,1.07072414764724,5.36846178480055,314.1,101.717
1961-02-01,2.54,6.57,1.07072414764724,5.36846178480055,316.5,104.008
1961-03-01,2.02,6.57,1.07072414764724,5.36846178480055,318.3,105.85
1961-04-01,1.49,6.57,1.07072414764724,5.36846178480055,319.9,107.87
1961-05-01,1.98,6.57,1.07072414764724,5.36846178480055,322.2,109.399
1961-06-01,1.73,6.57,1.07072414764724,5.36846178480055,324.3,111.367
1961-07-01,1.17,6.94,1.07072414764724,5.36846178480055,325.6,112.692
1961-08-01,2.0,6.94,1.19877334820186,6.8354403481973,327.6,114.166
1961-09-01,1.88,7.3,1.19877334820186,6.8354403481973,329.5,115.455
1961-10-01,2.26,7.3,1.19877334820186,6.8354403481973,331.1,116.86
1961-11-01,2.61,7.3,1.19877334820186,6.8354403481973,333.4,118.39
1961-12-01,2.33,7.3,1.19877334820186,6.8354403481973,335.5,119.176
1962-01-01,2.15,7.3,1.19877334820186,6.8354403481973,337.5,121.49
1962-02-01,2.37,7.3,1.19877334820186,6.8354403481973,340.1,122.834
