"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/1990","138.15","138.15","138.50","136.90","","0.95%"
"09/26/1990","136.85","136.85","137.40","136.20","","0.10%"
"09/25/1990","136.72","136.72","137.65","136.30","","-0.35%"
"09/24/1990","137.20","137.20","137.60","135.15","","0.51%"
"09/21/1990","136.50","136.50","137.82","136.45","","-0.85%"
"09/20/1990","137.67","137.67","137.70","136.30","","0.16%"
"09/19/1990","137.45","137.45","138.85","136.92","","-0.33%"
"09/18/1990","137.90","137.90","138.10","136.45","","0.99%"
"09/17/1990","136.55","136.55","137.50","135.85","","-0.11%"
"09/14/1990","136.70","136.70","137.30","135.70","","0.26%"
"09/13/1990","136.35","136.35","138.60","135.90","","-1.30%"
"09/12/1990","138.15","138.15","140.61","137.40","","-1.27%"
"09/11/1990","139.93","139.93","140.61","139.45","","0.22%"
"09/10/1990","139.62","139.62","139.90","138.66","","-0.27%"
"09/07/1990","140.00","140.00","141.02","139.80","","-0.41%"
"09/06/1990","140.58","140.58","142.48","140.50","","-0.74%"
"09/05/1990","141.63","141.63","144.15","141.40","","-1.18%"
"09/04/1990","143.32","143.32","144.20","143.15","","-0.14%"
"09/03/1990","143.52","143.52","143.90","143.18","","-0.13%"
"08/31/1990","143.70","143.70","144.57","143.18","","-0.44%"
"08/30/1990","144.33","144.33","144.75","143.00","","0.46%"
"08/29/1990","143.67","143.67","144.45","142.90","","0.00%"
"08/28/1990","143.67","143.67","144.35","142.70","","-0.32%"
"08/27/1990","144.13","144.13","146.50","144.00","","-1.35%"
"08/24/1990","146.10","146.10","146.75","145.35","","-0.10%"
"08/23/1990","146.25","146.25","146.70","145.35","","0.03%"
"08/22/1990","146.20","146.20","146.95","145.10","","-0.27%"
"08/21/1990","146.60","146.60","147.75","145.95","","0.10%"
"08/20/1990","146.45","146.45","147.92","146.15","","-0.78%"
"08/17/1990","147.60","147.60","148.20","147.03","","0.27%"
"08/16/1990","147.20","147.20","148.44","147.05","","-0.24%"
"08/15/1990","147.55","147.55","148.50","146.60","","-0.81%"
"08/14/1990","148.75","148.75","150.35","148.63","","-1.06%"
"08/13/1990","150.35","150.35","150.68","149.65","","-0.03%"
"08/10/1990","150.40","150.40","150.50","149.40","","0.47%"
"08/09/1990","149.70","149.70","151.12","149.25","","-0.03%"
"08/08/1990","149.75","149.75","151.20","149.55","","-0.71%"
"08/07/1990","150.82","150.82","151.10","149.17","","0.35%"
"08/06/1990","150.30","150.30","150.50","149.05","","0.67%"
"08/03/1990","149.30","149.30","150.45","148.55","","0.07%"
"08/02/1990","149.20","149.20","151.58","146.40","","1.36%"
"08/01/1990","147.20","147.20","147.60","145.50","","1.03%"
"07/31/1990","145.70","145.70","148.17","145.69","","-1.45%"
"07/30/1990","147.85","147.85","149.25","147.75","","-0.74%"
"07/27/1990","148.95","148.95","151.02","148.85","","-0.92%"
"07/26/1990","150.33","150.33","150.90","148.77","","0.32%"
"07/25/1990","149.85","149.85","150.10","148.70","","0.75%"
"07/24/1990","148.73","148.73","148.85","147.90","","0.45%"
"07/23/1990","148.07","148.07","148.97","148.00","","-0.32%"
"07/20/1990","148.55","148.55","149.27","147.70","","0.32%"
"07/19/1990","148.08","148.08","148.25","147.22","","0.24%"
"07/18/1990","147.73","147.73","148.48","146.85","","-0.06%"
"07/17/1990","147.82","147.82","148.50","147.70","","-0.19%"
"07/16/1990","148.10","148.10","148.50","147.50","","-0.03%"
"07/13/1990","148.15","148.15","148.17","146.75","","0.58%"
"07/12/1990","147.30","147.30","149.40","146.65","","-0.77%"
"07/11/1990","148.45","148.45","148.80","147.40","","0.16%"
"07/10/1990","148.22","148.22","151.13","148.15","","-1.91%"
"07/09/1990","151.10","151.10","151.90","150.25","","-0.33%"
"07/06/1990","151.60","151.60","151.70","150.50","","0.73%"
"07/05/1990","150.50","150.50","151.10","150.00","","0.48%"
"07/04/1990","149.78","149.78","150.90","149.38","","-0.74%"
"07/03/1990","150.90","150.90","152.15","150.73","","0.08%"
"07/02/1990","150.78","150.78","152.23","150.75","","-0.93%"
"06/29/1990","152.20","152.20","154.58","151.55","","-0.59%"
"06/28/1990","153.10","153.10","154.69","152.65","","-0.86%"
"06/27/1990","154.43","154.43","155.40","153.78","","-0.12%"
"06/26/1990","154.62","154.62","155.45","154.50","","-0.46%"
"06/25/1990","155.34","155.34","155.77","154.76","","0.35%"
"06/22/1990","154.80","154.80","155.10","154.55","","0.03%"
"06/21/1990","154.75","154.75","154.90","154.05","","0.55%"
"06/20/1990","153.90","153.90","154.30","153.00","","0.27%"
"06/19/1990","153.48","153.48","154.08","153.35","","-0.08%"
"06/18/1990","153.60","153.60","154.24","153.45","","-0.19%"
"06/15/1990","153.90","153.90","154.80","153.58","","-0.13%"
"06/14/1990","154.10","154.10","154.46","153.25","","-0.39%"
"06/13/1990","154.71","154.71","155.13","154.20","","0.12%"
"06/12/1990","154.53","154.53","154.80","153.65","","-0.11%"
