Date,CPI_USA_Index,CPI_Japan_Index,USA_WageH_Dollar,Japan_WageH_Dollar,USA_GDP_Dollar_Capita,Japan_GDP_Dollar_Capita,Japan Debt in 100 Billion of Yen,USA Debt in 1Billion of USD,USA_%_Debt_to_GDP,Japan_%_Debt_to_GDP
1990-01-01,127.5,93.2552812420463,52.85547,81.73436,39200.0658112434,28422.2131195125,2399.32,3233.31345177725,53.62625,52.0126920923287
1990-02-01,128.0,93.4588953932298,53.458380000000005,79.84052,39200.0658112434,28422.2131195125,2399.32,3233.31345177725,53.62625,52.0126920923287
1990-03-01,128.6,93.8661236955968,53.75984,80.43858,39200.0658112434,28422.2131195125,2399.32,3233.31345177725,53.62625,52.0126920923287
1990-04-01,128.9,94.4769661491474,53.65936,80.93696,39200.0658112434,28422.2131195125,2399.32,3233.31345177725,53.62625,52.0126920923287
1990-05-01,129.1,95.0878086026979,53.96081,81.53501,39200.0658112434,28422.2131195125,2399.32,3233.31345177725,53.62625,52.0126920923287
1990-06-01,129.9,94.5787732247391,54.16178000000001,82.4321,39200.0658112434,28422.2131195125,2399.32,3233.31345177725,53.62625,52.0126920923287
1990-07-01,130.5,94.5787732247391,54.26227,82.53177,39200.0658112434,28422.2131195125,2399.32,3233.31345177725,53.62625,52.0126920923287
1990-08-01,131.6,94.7823873759226,54.31251,81.23598,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1990-09-01,132.5,95.2914227538814,54.56372,82.63145,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1990-10-01,133.4,96.1058793586154,54.86518,83.03015,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1990-11-01,133.7,96.0040722830236,54.71445,83.52853,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1990-12-01,134.2,96.0040722830236,54.91542,84.62496999999999,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-01-01,134.7,96.8185288877577,55.16664,83.12983,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-02-01,134.8,96.6149147365742,55.11639,84.32594,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-03-01,134.8,97.0221430389412,55.26712,84.12659000000001,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-04-01,135.1,97.3275642657165,55.51834,84.32594,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-05-01,135.6,97.938406719267,55.71931,84.62496999999999,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-06-01,136.0,97.7347925680835,55.920280000000005,84.92399999999999,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-07-01,136.2,97.8365996436752,56.12125,84.52529,38637.8398140572,29308.274088137,1876.05,3665.30335169703,58.7275,38.1761873627571
1991-08-01,136.6,98.0402137948587,56.1715,86.81784,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1991-09-01,137.0,98.1420208704505,56.37246999999999,84.92399999999999,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1991-10-01,137.2,99.160091626368,56.5232,85.22301999999999,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1991-11-01,137.8,99.3637057775515,56.573440000000005,85.3227,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1991-12-01,138.2,98.8546703995928,56.62368000000001,87.4159,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1992-01-01,138.3,98.8546703995928,56.47295,86.61849000000001,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1992-02-01,138.6,98.6510562484093,56.77441,85.22301999999999,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1992-03-01,139.1,99.160091626368,56.8749,85.3227,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
