"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2009","88.40","88.97","89.44","88.17","","-1.24%"
"12/07/2009","89.51","89.89","90.27","89.04","","-1.02%"
"12/04/2009","90.43","89.43","90.75","87.99","","2.53%"
"12/03/2009","88.20","87.83","88.45","87.32","","0.86%"
"12/02/2009","87.45","87.06","87.56","86.59","","0.93%"
"12/01/2009","86.64","86.49","87.46","86.14","","0.35%"
"11/30/2009","86.34","86.54","86.93","85.85","","-0.08%"
"11/27/2009","86.41","86.52","86.96","84.82","","-0.08%"
"11/26/2009","86.48","86.98","87.47","86.29","","-0.94%"
"11/25/2009","87.30","87.95","88.63","87.21","","-1.42%"
"11/24/2009","88.56","88.75","89.00","88.35","","-0.44%"
"11/23/2009","88.95","88.89","89.17","88.57","","0.04%"
"11/20/2009","88.91","88.93","89.10","88.67","","-0.13%"
"11/19/2009","89.03","89.16","89.42","88.63","","-0.38%"
"11/18/2009","89.37","89.28","89.50","89.00","","0.06%"
"11/17/2009","89.32","89.19","89.49","88.73","","0.24%"
"11/16/2009","89.11","89.30","89.71","88.75","","-0.67%"
"11/13/2009","89.71","90.02","90.40","89.46","","-0.74%"
"11/12/2009","90.38","90.11","90.56","89.64","","0.62%"
"11/11/2009","89.82","89.85","90.03","89.28","","-0.02%"
"11/10/2009","89.84","89.90","90.16","89.68","","-0.17%"
"11/09/2009","89.99","89.97","90.24","89.68","","0.09%"
"11/06/2009","89.91","90.30","90.82","89.61","","-0.91%"
"11/05/2009","90.74","90.74","90.82","89.99","","0.07%"
"11/04/2009","90.68","90.54","91.16","90.05","","0.39%"
"11/03/2009","90.33","90.33","90.53","89.87","","0.00%"
"11/02/2009","90.33","89.95","90.64","89.19","","0.28%"
"10/30/2009","90.08","90.78","91.54","89.92","","-1.45%"
"10/29/2009","91.41","91.07","91.59","90.24","","0.87%"
"10/28/2009","90.62","91.22","91.75","90.55","","-1.27%"
"10/27/2009","91.79","92.00","92.27","91.70","","-0.44%"
"10/26/2009","92.20","92.19","92.27","91.56","","0.17%"
"10/23/2009","92.04","91.71","92.12","91.27","","0.71%"
"10/22/2009","91.39","91.19","91.67","90.77","","0.44%"
"10/21/2009","90.99","90.85","91.20","90.48","","0.35%"
"10/20/2009","90.67","90.65","90.98","90.07","","0.10%"
"10/19/2009","90.58","90.85","91.05","90.36","","-0.33%"
"10/16/2009","90.88","90.73","91.30","90.50","","0.36%"
"10/15/2009","90.55","89.97","90.77","89.27","","1.26%"
"10/14/2009","89.42","89.52","89.89","88.83","","-0.31%"
"10/13/2009","89.70","89.77","90.17","89.43","","-0.14%"
"10/12/2009","89.83","89.79","90.43","89.63","","0.07%"
"10/09/2009","89.77","89.09","89.87","88.35","","1.54%"
"10/08/2009","88.41","88.50","88.65","88.15","","-0.19%"
"10/07/2009","88.58","88.70","89.26","88.00","","-0.20%"
"10/06/2009","88.76","89.16","89.65","88.62","","-0.83%"
"10/05/2009","89.50","89.49","89.97","89.40","","-0.33%"
